Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,173.38,171.48
Short Term Investments,0.79,0.60,2.49,34.41,52.90
Cash and Short Term Investments,331.88,231.07,166.70,207.79,224.37
"Accounts Receivable - Trade, Net",141.89,169.81,183.67,213.88,177.25
"Total Receivables, Net",161.43,179.02,194.41,225.88,430.71
Prepaid Expenses,86.97,36.91,74.66,53.44,60.64
"Other Current Assets, Total",5.07,4.40,4.10,3.44,2.83
Total Current Assets,1260.84,1235.96,1340.41,1384.15,1604.46
"Property/Plant/Equipment, Total - Gross",1638.30,1894.81,1968.07,2435.52,2663.08
"Accumulated Depreciation, Total",-440.94,-532.54,-592.88,-739.00,-856.84
"Property/Plant/Equipment, Total - Net",1197.36,1362.27,1375.19,1696.52,1806.24
"Goodwill, Net",5.22,5.18,6.46,11.18,11.02
"Intangibles, Net",3.16,5.21,5.62,5.73,3.21
Long Term Investments,25.56,30.86,41.39,30.28,59.60
Total Assets,2525.18,2743.09,2889.27,3310.43,3667.88
Accounts Payable,301.51,623.02,388.84,389.87,358.44
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",26.04,30.29,60.45,34.82,51.26
Total Current Liabilities,647.27,970.99,889.50,1022.47,862.56
Total Long Term Debt,520.09,626.51,777.42,884.66,711.26
Total Debt,839.81,944.20,1217.63,1482.44,1164.13
Deferred Income Tax,3.82,3.59,2.51,9.53,5.01
"Other Liabilities, Total",264.82,119.21,89.45,107.08,127.02
Total Liabilities,1903.50,2049.54,2109.88,2429.88,2248.17
"Common Stock, Total",937.61,940.84,980.95,993.18,1059.88
Retained Earnings (Accumulated Deficit),30.53,-74.71,29.17,105.73,539.75
Treasury Stock - Common,0,-4.76,-5.93,-7.62,-22.89
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-346.46,-167.82,-224.80,-210.73,-157.04
Total Equity,621.68,693.56,779.39,880.56,1419.71
Total Liabilities & Shareholders' Equity,2525.18,2743.09,2889.27,3310.43,3667.88
Total Common Shares Outstanding,1792.96,1786.60,1875.04,1893.21,2026.09
"Tangible Book Value per Share, Common Eq",0.34,0.38,0.41,0.46,0.69
