Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.89,1.71,8.17,2.11,8.25
Depreciation/Depletion,1.00,1.24,2.44,2.44,3.46
Non-Cash Items,-0.00,0.19,1.54,1.87,-15.59
Cash Taxes Paid,0.37,0.35,0.55,0.92,0.57
Changes in Working Capital,-0.05,0.35,-2.72,1.27,2.74
Cash from Operating Activities,3.84,3.49,9.43,7.68,-1.12
Capital Expenditures,-15.25,-13.38,-7.05,-13.55,-7.37
"Other Investing Cash Flow Items, Total",0.00,0.07,0.01,0.00,-2.04
Cash from Investing Activities,-15.25,-13.31,-7.04,-13.55,-9.42
Total Cash Dividends Paid,0,0,0,0,-4.03
"Issuance (Retirement) of Stock, Net",0,0.00,0.00,17.28,9.07
Cash from Financing Activities,12.40,7.79,-1.51,7.17,14.57
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,1.00,-2.03,0.89,1.30,4.02
