Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,34.76,149.01,155.65,62.61,82.16
Total Revenue,34.76,149.01,155.65,62.61,82.16
"Selling/General/Admin. Expenses, Total",25.06,29.32,33.91,26.83,21.55
Depreciation/Amortisation,3.15,4.09,0,0,0
Unusual Expense (Income),39.35,0,0,0,-22.71
"Other Operating Expenses, Total",0.97,-0.35,-0.95,6.22,4.13
Total Operating Expense,106.07,145.52,148.84,96.20,74.26
Operating Income,-71.31,3.50,6.81,-33.59,7.90
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-4.04,-4.08,-3.96
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-71.31,3.50,2.77,-37.66,3.94
Provision for Income Taxes,-0.42,3.17,6.36,-0.76,1.37
Net Income After Taxes,-70.89,0.33,-3.59,-36.90,2.57
Net Income Before Extra. Items,-71.12,0.34,-2.61,-35.76,3.27
Net Income,-72.40,-21.32,-2.61,-35.76,3.27
Income Available to Com Excl ExtraOrd,-71.12,0.34,-2.61,-35.76,3.27
Income Available to Com Incl ExtraOrd,-72.40,-21.32,-2.61,-35.76,3.27
Diluted Net Income,-72.40,-21.32,-2.61,-35.76,3.27
Diluted Weighted Average Shares,200.11,200.11,204.73,224.92,224.92
Diluted EPS Excluding ExtraOrd Items,-0.36,0.00,-0.01,-0.16,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.23,0.00,-0.01,-0.16,-0.05
