Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,PRESS
Net Income/Starting Line,-2.27,-3.38,-7.45,-8.54,-5.23
Depreciation/Depletion,0.08,0.05,0.10,0.37,0.34
Non-Cash Items,0.04,0.30,1.89,-0.30,3.39
Cash Taxes Paid,0,0,0.18,0.02,0.00
Changes in Working Capital,0.11,-0.80,0.47,0.58,0.77
Cash from Operating Activities,-1.95,-3.74,-4.59,-7.38,-0.22
Capital Expenditures,-0.16,-0.34,-0.53,-0.38,-0.62
"Other Investing Cash Flow Items, Total",0,0,-0.69,0.02,50.61
Cash from Investing Activities,-0.16,-0.34,-1.23,-0.36,49.98
Total Cash Dividends Paid,0,0,0,0,-28.41
"Issuance (Retirement) of Stock, Net",1.58,2.31,11.61,2.17,0.00
Cash from Financing Activities,2.11,5.71,11.46,1.87,-49.23
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.01,1.63,5.64,-5.88,0.53
