Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS,PRESS,PRESS
Revenue,3.68,8.03,16.05,3.10,1.77
Total Revenue,3.68,8.03,16.05,3.10,1.77
"Selling/General/Admin. Expenses, Total",3.29,4.85,10.84,3.49,5.81
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0.14,0,0
"Other Operating Expenses, Total",-0.07,0.09,-0.16,-1.87,-0.14
Total Operating Expense,5.95,11.21,22.88,3.52,6.99
Operating Income,-2.27,-3.18,-6.83,-0.42,-5.22
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,-0.20,-0.00,-0.01,-0.01
"Other, Net",0,0,-0.62,0,0
Net Income Before Taxes,-2.27,-3.38,-7.45,-0.43,-5.23
Provision for Income Taxes,0.00,0.00,-0.06,-0.09,-0.12
Net Income After Taxes,-2.27,-3.38,-7.39,-0.34,-5.10
Net Income Before Extra. Items,-2.27,-3.38,-7.39,-0.34,-5.10
Net Income,-2.27,-3.38,-7.39,-8.45,56.65
Income Available to Com Excl ExtraOrd,-2.27,-3.38,-7.39,-0.34,-5.10
Income Available to Com Incl ExtraOrd,-2.27,-3.38,-7.39,-8.45,56.65
Diluted Net Income,-2.27,-3.38,-7.39,-8.45,56.65
Diluted Weighted Average Shares,221.09,221.09,169.15,263.21,305.40
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.02,-0.04,-0.00,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.02,-0.04,0.00,-0.02
