Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,13.38,0,35.00,4.60,3.06
Cash and Short Term Investments,62.42,53.04,95.98,95.00,79.41
"Accounts Receivable - Trade, Net",21.35,10.69,10.16,9.96,1.96
"Total Receivables, Net",21.35,10.69,10.16,9.96,17.22
Prepaid Expenses,0,0,0,0,2.74
"Other Current Assets, Total",56.16,0,0.13,0.00,1.74
Total Current Assets,141.40,65.03,107.56,106.39,102.92
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",16.84,18.89,21.38,209.99,191.10
"Goodwill, Net",0,0,0,0,12.66
"Intangibles, Net",0.26,0.18,0.14,0.15,3.33
Long Term Investments,20.00,11.99,15.63,21.47,16.54
Total Assets,186.85,107.21,159.70,348.88,341.62
Accounts Payable,0,0,0,0,22.64
Accrued Expenses,0,0,0,0,11.92
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",17.33,8.08,7.34,7.54,14.46
Total Current Liabilities,66.27,53.47,53.77,112.58,116.41
Total Long Term Debt,7.67,1.57,4.36,121.74,113.97
Total Debt,16.75,1.76,4.78,185.60,181.35
Deferred Income Tax,0.00,0.01,0.01,0.08,0.76
"Other Liabilities, Total",10.01,9.04,10.02,11.47,9.21
Total Liabilities,83.96,64.25,68.28,246.60,240.60
"Common Stock, Total",1.00,1.00,44.96,44.96,44.96
Retained Earnings (Accumulated Deficit),101.89,41.97,46.45,57.56,56.40
Treasury Stock - Common,0,0,0,-0.24,-0.35
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,102.89,42.97,91.41,102.29,101.01
Total Liabilities & Shareholders' Equity,186.85,107.21,159.70,348.88,341.62
Total Common Shares Outstanding,483.00,483.00,555.16,554.81,554.62
"Tangible Book Value per Share, Common Eq",0.21,0.09,0.16,0.18,0.15
