Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,PRESS,PRESS,PRESS
Revenue,999.47,2295.98,2025.80,1679.51,1194.94
Total Revenue,999.47,2295.98,2025.80,1679.51,1194.94
"Selling/General/Admin. Expenses, Total",8.49,51.66,54.16,53.03,54.49
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.09,123.02,18.60,-1.29,1.76
Total Operating Expense,995.88,2402.62,2042.49,1676.16,1183.88
Operating Income,3.59,-106.64,-16.70,3.35,11.06
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.31,-2.75,-1.99,-3.00,-1.34
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.28,-109.39,-18.69,0.36,9.72
Provision for Income Taxes,0.56,0.46,0.15,1.64,3.68
Net Income After Taxes,2.72,-109.85,-18.84,-1.28,6.04
Net Income Before Extra. Items,2.72,-111.29,-20.76,-2.70,2.28
Net Income,2.72,-111.29,-20.76,-2.70,2.28
Income Available to Com Excl ExtraOrd,2.72,-111.29,-20.76,-2.70,2.28
Income Available to Com Incl ExtraOrd,2.72,-111.29,-20.76,-2.70,2.28
Diluted Net Income,2.72,-111.29,-20.76,-2.70,2.28
Diluted Weighted Average Shares,4233.19,4233.19,4233.19,4233.19,4233.19
Diluted EPS Excluding ExtraOrd Items,0.00,-0.03,-0.00,-0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.03,-0.00,-0.00,0.00
