Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,25664.41,25638.41,24888.04,18666.36,23918.08
Total Revenue,25664.41,25638.41,24888.04,18666.36,23918.08
"Selling/General/Admin. Expenses, Total",992.15,1139.87,1353.64,1719.88,1863.69
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-7.14,-0.19,-0.45,0.00,-1.12
"Other Operating Expenses, Total",-13.02,-92.26,-26.34,-1166.72,-336.84
Total Operating Expense,18192.25,14276.18,13713.82,8938.65,14912.05
Operating Income,7472.15,11362.22,11174.22,9727.71,9006.03
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-632.56,-932.65,-1521.35
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7472.15,11362.22,10541.66,8795.06,7484.68
Provision for Income Taxes,3494.96,5741.96,5146.21,3606.96,3832.32
Net Income After Taxes,3977.20,5620.27,5395.45,5188.10,3652.36
Net Income Before Extra. Items,2697.36,3216.44,3544.57,3350.45,2591.88
Net Income,2697.36,3216.44,3544.57,3350.45,2591.88
Income Available to Com Excl ExtraOrd,2697.36,3216.44,3544.57,3350.45,2591.88
Income Available to Com Incl ExtraOrd,2697.36,3216.44,3544.57,3350.45,2591.88
Diluted Net Income,2697.36,3216.44,3544.57,3350.45,2591.88
Diluted Weighted Average Shares,1946.66,1936.23,1931.54,1931.54,1931.54
Diluted EPS Excluding ExtraOrd Items,1.39,1.66,1.84,1.73,1.34
DPS - Common Stock Primary Issue,0.21,0.33,0.34,0.35,0.34
Diluted Normalised EPS,1.38,1.66,1.83,1.73,1.34
