Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4515.40,6154.90,3745.90,1565.40,754.00
Depreciation/Depletion,2238.90,2250.00,2222.20,2580.30,2684.80
Non-Cash Items,-1769.10,-3349.30,-1343.40,361.00,316.90
Cash Taxes Paid,833.80,607.80,679.50,491.90,164.00
Changes in Working Capital,329.50,899.60,742.90,1310.60,1853.30
Cash from Operating Activities,5314.70,5955.20,5367.60,5817.30,5609.00
Capital Expenditures,-2518.30,-3473.40,-2057.90,-2386.60,-2428.40
"Other Investing Cash Flow Items, Total",-2313.90,1522.70,-270.60,-534.20,-237.80
Cash from Investing Activities,-4832.20,-1950.70,-2328.50,-2920.80,-2666.20
Total Cash Dividends Paid,-2815.50,-3346.30,-2856.60,-2856.70,-1272.90
"Issuance (Retirement) of Stock, Net",1575.20,-25.00,-25.60,-23.00,-15.70
Cash from Financing Activities,-422.40,-4009.20,-3055.50,-2446.80,-3190.00
Foreign Exchange Effects,11.90,-4.20,4.20,37.20,-2.10
Net Change in Cash,72.00,-8.90,-12.20,486.90,-249.30
