Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,49.073,0.174,,,Real Estate,44
8Telecom,AZG,ETEL.SI,7.919,0.802,,,Technology Equipment,57
A-Smart,BQC,ASMA.SI,28.322,5.268,,,Industrial & Commercial Services,61
A-Sonic Aero,BTJ,ASON.SI,40.936,349.037,4.87,0.54,Transportation,57
ABR,533,ABRH.SI,96.478,85.975,16.01,4.17,Food & Beverages,56
Abterra,L5I,ABTR.SI,12.831,5.49,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,34.606,545.798,,,Industrial & Commercial Services,65
Accordia Golf Tr,ADQU,ACCO.SI,19.152,616.382,0.96,246.77,Cyclical Consumer Services,61.3
Accrelist Ltd,QZG,ACCR.SI,14.795,118.049,,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,5.611,38.312,,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,8.474,9.523,340,,Industrial & Commercial Services,68
Acma,AYV,ACMA.SI,2.755,62.687,,,Industrial Goods,67
Acromec,43F,ACRO.SI,13.718,23.516,,,Industrial & Commercial Services,61
Addvalue Tech,A31,AVAU.SI,47.225,10.918,22.6,,Technology Equipment,56
Advanced,BLZ,ADVA.SI,10.352,59.137,3.62,,Energy - Fossil Fuels,64
Advanced Systems,5TY,ADSA.SI,22.324,0,,,Technology Equipment,68
Advancer Global,43Q,ADVN.SI,36.593,,,9.52,Industrial & Commercial Services,80
Adventus,5EF,ADVE.SI,27.309,,,,Industrial Goods,58
Aedge Group,XVG,AEDE.SI,26.5,,,,Industrial & Commercial Services,
AEI,AWG,AEIC.SI,107.555,9.867,,,Mineral Resources,39
AEM,AWX,AEM.SI,1028.113,518.959,10.32,2.48,Technology Equipment,89
AF Global,L38,AFGL.SI,87.618,10.689,,,Cyclical Consumer Services,66
AGV,1A4,AGVG.SI,24.95,9.442,,,Mineral Resources,55
AIMS APAC Reit,O5RU,AIMA.SI,1003.461,122.633,21.09,,Real Estate,86.3
AIMS Property,BVP,APW.AX,49.955,-4.111,,1.81,Real Estate,
Alita Resources,40F,ALIT.SI,115.213,73.757,,,Mineral Resources,48
Alliance HC,MIJ,ALLA.SI,37.212,45.089,23.13,1.9,Healthcare Services,51
Allied Tech,A13,ALLT.SI,18.896,109.363,,,Industrial Goods,71
AlphaDX,VVL,ALPH.SI,71.033,0,,,Software & IT Services,
Alset,40V,ALSE.SI,199.373,,,,Real Estate,75
Amara,A34,AMRA.SI,213.466,61.053,,,Cyclical Consumer Services,71
Amcorp Global,S9B,AMCO.SI,65.691,20.17,,,Real Estate,83
AMOS,RF7,AMOS.SI,92.856,119.491,,,Industrial Goods,57
Amplefield Ltd,AOF,AMPL.SI,27.019,2.265,73.17,,Real Estate,77
AMTD IB OV,HKB,,,,,,,
AnAn Intl,Y35,ANAN.SI,135.462,1596.547,42.29,,Energy - Fossil Fuels,32
Anchun Intl,BTX,ANIH.SI,10.605,19.47,,,Industrial Goods,50
AnnAik,A52,AAIK.SI,17.222,49.391,93.55,1.72,Mineral Resources,53
Annica,5AL,ANHL.SI,16.675,10.906,,,Energy - Fossil Fuels,51
Aoxin Q & M,1D4,AOXI.SI,68.684,27.481,,,Healthcare Services,78
AP Oil,5AU,AOIL.SI,29.616,57.149,13.75,2.78,Chemicals,68
AP Strategic,5RA,ASIC.SI,35.651,0.918,,,Cyclical Consumer Services,53
APAC Realty,CLN,APAC.SI,225.551,389.429,13.72,3.94,Real Estate,56
ARA HTrust USD,XZL,ARAU.SI,295.018,78.161,,,Real Estate,66.2
